attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country
5272.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Netherlands
5424.0,reported,AO Arena,arena,21000.0,Europe,England,Manchester,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_England
9968.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_England
7722.0,reported,Max-Schemeling-Halle,arena,12000.0,Europe,Germany,Berlin,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Germany
6224.0,reported,Zénith,arena,9000.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_France
8344.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Spain
10081.0,reported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Macau
12173.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Australia
14317.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Australia
28776.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Thailand
50369.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,1,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan
81931.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan
38846.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,1,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan
20060.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_South Korea
23528.0,reported,American Airlines Center,arena,21000.0,North America,United States,Dallas,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
23480.0,reported,Toyota Center,arena,19000.0,North America,United States,Houston,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
23434.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
23990.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Canada
25582.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
23928.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
46295.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States
35440.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_England
17208.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Spain
15899.0,reported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Germany
30731.0,reported,Accor Arena,arena,20300.0,Europe,France,Paris,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_France
15525.0,reported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Denmark
26638.0,reported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Germany
14641.0,reported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Netherlands
