attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend
,unreported,Royal Arena,arena,17000.0,Europe,Denmark,Copenhagen,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Denmark,2027,1,1,Sun,Sun,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Germany,2027,1,1,Tue,Tue,0
,unreported,Unipol Dome,arena,16000.0,Europe,Italy,Milan,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Italy,2027,1,1,Fri,Fri,1
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Spain,2027,1,1,Sun,Sun,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_France,2027,2,1,Tue,Tue,0
16706.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,BABYMONSTER,female,5,7,YG,0,rookie,BABYMONSTER_South Korea,2025,1,1,Sat,Sun,1
,unreported,Prudential Center,arena,17000.0,North America,United States,Newark,1,BABYMONSTER,female,5,7,YG,0,rookie,BABYMONSTER_United States,2025,2,1,Fri,Fri,1
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,BABYMONSTER,female,5,7,YG,0,rookie,BABYMONSTER_United States,2025,3,1,Sun,Sun,1
24918.0,reported,Pia Arena MM,arena,12141.0,Asia,Japan,Yokohama,3,BABYMONSTER,female,5,7,YG,0,rookie,BABYMONSTER_Japan,2025,3,1,Fri,Sun,1
,unreported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,2,BABYMONSTER,female,5,7,YG,0,rookie,BABYMONSTER_Japan,2025,3,1,Sat,Sun,1
,unreported,Asue Arena,arena,16000.0,Asia,Japan,Osaka,2,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Japan,2025,4,2,Thu,Fri,0
40936.0,reported,K-Arena Yokohama,arena,20000.0,Asia,Japan,Yokohama,3,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Japan,2025,4,2,Fri,Sun,1
,unreported,Fukuoka Kokusai Center,arena,10000.0,Asia,Japan,Fukuoka,2,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Japan,2025,4,2,Sat,Sun,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Singapore,2025,5,2,Sat,Sat,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Hong Kong,2025,5,2,Sat,Sun,1
,unreported,Saigon Exhibition and Convention Center,concert hall,2000.0,Asia,Vietnam,Ho Chi Minh City,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Vietnam,2025,5,2,Sat,Sat,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,2,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Thailand,2025,6,2,Sat,Sun,1
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Indonesia,2025,6,2,Sat,Sat,1
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Malaysia,2025,6,2,Sat,Sat,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Taiwan,2025,6,2,Sat,Sun,1
,unreported,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_Canada,2025,8,3,Sat,Sat,1
3636.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States,2025,9,3,Tue,Tue,0
5083.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States,2025,9,3,Fri,Fri,1
5886.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States,2025,9,3,Sun,Sun,1
6336.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States,2025,9,3,Wed,Wed,0
7085.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States,2025,9,3,Fri,Fri,1
21125.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_South Korea,2018,11,4,Sat,Sun,1
29241.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Thailand,2019,1,1,Fri,Sun,1
16260.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Indonesia,2019,1,1,Sat,Sun,1
9690.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Hong Kong,2019,1,1,Sat,Sat,1
8469.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Philippines,2019,2,1,Sat,Sat,1
8076.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Singapore,2019,2,1,Fri,Fri,1
15504.0,reported,Malawati Indoor Stadium,arena,13000.0,Asia,Malaysia,Kuala Lumpur,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Malaysia,2019,2,1,Sat,Sun,1
8774.0,reported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Taiwan,2019,3,1,Sun,Sun,1
12245.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,4,2,Wed,Wed,0
11417.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,4,2,Wed,Wed,0
10704.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Canada,2019,4,2,Sat,Sat,1
22944.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,5,2,Wed,Thu,0
9180.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,5,2,Sun,Sun,1
9107.0,reported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,5,2,Wed,Wed,0
,unreported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States,2019,5,2,Wed,Wed,0
5272.0,reported,AFAS Live,concert hall,6000.0,Europe,Netherlands,Amsterdam,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Netherlands,2019,5,2,Sat,Sat,1
5424.0,reported,AO Arena,arena,21000.0,Europe,England,Manchester,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_England,2019,5,2,Tue,Tue,0
9968.0,reported,Wembley Arena,arena,12500.0,Europe,England,London,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_England,2019,5,2,Wed,Wed,0
7722.0,reported,Max-Schemeling-Halle,arena,12000.0,Europe,Germany,Berlin,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Germany,2019,5,2,Fri,Fri,1
6224.0,reported,Zénith,arena,9000.0,Europe,France,Paris,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_France,2019,5,2,Sun,Sun,1
8344.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Spain,2019,5,2,Tue,Tue,0
10081.0,reported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Macau,2019,6,2,Sat,Sat,1
12173.0,reported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Australia,2019,6,2,Thu,Thu,0
14317.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Australia,2019,6,2,Sat,Sat,1
28776.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Thailand,2019,7,3,Fri,Sun,1
50369.0,reported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,1,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan,2019,12,4,Wed,Wed,0
81931.0,reported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan,2020,1,1,Sat,Sun,1
38846.0,reported,PayPay Dome,stadium,47500.0,Asia,Japan,Fukuoka,1,BLACKPINK,female,3,4,YG,3,growing,BLACKPINK_Japan,2020,2,1,Sat,Sat,1
20060.0,reported,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_South Korea,2022,10,4,Sat,Sun,1
23528.0,reported,American Airlines Center,arena,21000.0,North America,United States,Dallas,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,10,4,Tue,Wed,0
23480.0,reported,Toyota Center,arena,19000.0,North America,United States,Houston,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,10,4,Sat,Sun,1
23434.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,11,4,Wed,Thu,0
23990.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Canada,2022,11,4,Sun,Mon,1
25582.0,reported,United Center,arena,23500.0,North America,United States,Chicago,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,11,4,Thu,Fri,0
23928.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,11,4,Mon,Tue,0
46295.0,reported,BMO Stadium,stadium,22000.0,North America,United States,Los Angeles,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_United States,2022,11,4,Sat,Sun,1
35440.0,reported,The O2 Arena,arena,20000.0,Europe,England,London,2,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_England,2022,11,4,Wed,Thu,0
17208.0,reported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Spain,2022,12,4,Mon,Mon,0
15899.0,reported,Lanxess Arena,arena,20000.0,Europe,Germany,Cologne,1,BLACKPINK,female,3,4,YG,6,established,BLACKPINK_Germany,2022,12,4,Thu,Thu,0
